site,STIC,sublocation,month,windowLength_days,prcData,prcWet,meanTemp_C
04M03,04M03_1,HS,July,7,1,0.004457652303120356,24.83072808320951
04M03,04M03_1,HS,July,14,1,0.0022304832713754648,25.05842379182156
04M03,04M03_1,HS,July,21,1,0.001487357461576599,25.112756569162123
04M04,04M04_1,HS,July,7,1,1,21.62111441307578
04M04,04M04_1,HS,July,14,1,1,21.056587360594797
04M04,04M04_1,HS,July,21,1,1,20.552012890431335
04M05,04M05_1,HS,July,7,1,1,19.585661218424963
04M05,04M05_1,HS,July,14,1,1,19.171159851301116
04M05,04M05_1,HS,July,21,1,1,18.79258304412494
04M06,04M06_1,HS,July,7,1,0,22.563046062407132
04M06,04M06_2,LS,July,7,1,1,20.314621099554234
04M06,04M06_1,HS,July,14,1,0,22.694200743494424
04M06,04M06_2,LS,July,14,1,1,20.261122676579927
04M06,04M06_1,HS,July,21,1,0,22.764328210213186
04M06,04M06_2,LS,July,21,1,1,20.243495290034705
04M07,04M07_1,HS,July,7,1,0,25.129836552748884
04M07,04M07_1,HS,July,14,1,0.020817843866171002,25.282810408921932
04M07,04M07_1,HS,July,21,1,0.29102627664848785,24.14969757064948
04M08,04M08_1,HS,July,7,1,0.7355126300148589,19.076151560178307
04M08,04M08_2,LS,July,7,1,1,17.0555720653789
04M08,04M08_1,HS,July,14,1,0.8676579925650557,18.619947955390334
04M08,04M08_2,LS,July,14,1,1,17.076810408921933
04M08,04M08_1,HS,July,21,1,0.9117501239464552,18.173336638572138
04M08,04M08_2,LS,July,21,1,1,16.97021814576103
04M09,04M09_1,HS,July,7,1,0,25.730906389301634
04M09,04M09_1,HS,July,14,1,0.11970260223048328,25.42695910780669
04M09,04M09_1,HS,July,21,1,0.3406048587010411,24.748805156172534
04M10,04M10_1,HS,July,7,1,0,23.114338781575036
04M10,04M10_2,LS,July,7,1,0.32540861812778604,21.592852897473996
04M10,04M10_1,HS,July,14,1,0,23.248156133828996
04M10,04M10_2,LS,July,14,1,0.25427509293680295,21.806089219330854
04M10,04M10_1,HS,July,21,1,0.19930589985126426,23.06220624690134
04M10,04M10_2,LS,July,21,1,0.496777392166584,21.707099652949925
